name,ingredients,category,harmful
Sidi Ali,Une eau minérale naturelle,Food,0
Sidi Ali,Sodium 26 calcium 12 magnésium 9 potassium 3 bicarbonates 104 sulfates 42 chlorures 14 nitrates 0 صوديوم كالسيوم تغازيوم بوتاسيوم میکرونات سلفات كلوري نترات,Food,0
Perly,"Lait écrémé, Crème, Sucre, Ferments laciques matière grasse:3 %% poids net : 85g",Food,0
Eau minérale naturelle,100% eau minérale,Food,0
اكوافينا,Ouverture et avant le : voir bouteille. après مياه مصفاة بتقنية اكوافينا هايدرو - 7 eau purifiée par la technique aquafina hydro-7,Food,0
Lait,Lait frais pasteurisé demi écrémé,Food,0
Eau de source,Eau de source,Food,0
Fromage blanc nature,"Ferments lactiques, Présure, Sel.",Food,0
Lait entier UHT,Lait entier,Food,0
Unknown,Unknown,Food,0
Unknown,Unknown,Food,0
Crunchy Peanut Butter Chocolate,Unknown,Food,0
Cannellini Bohnen,Unknown,Food,0
Unknown,Unknown,Food,0
Takis,"Făină de porumb precoaptă (origine: din ue), Grasime vegetala (palmier), Condimente reparate cu aromă de brânză şi ardei iute (origine: din ue) [zer praf, Maltodextrina, Sare, Arome, Rentiatori de aromã (monoglutamat de sodiu, Inozinat si guanillat disodic), Praf de branza (0, 4%)* ectori de aciditate (acetati de sodiu, Acid citric), Coloranti (extract de paprika, Annatto bixiná), Oxidanti (acid ascorbic, Extracte de rozmarin, Butilhidroxianisol, Galat de propil, Alfa-tocoferol, Extract ingat in tocoferol)], Ulei vegetal (floarea-soarelui). &quot;in produsul final. poate contine soia.",Food,0
Tomaten,Unknown,Food,0
Unknown,Unknown,Food,0
Unknown,Unknown,Food,0
Albeni Bar Cake,Unknown,Food,0
Unknown,Unknown,Food,0
Thai peanut noodle kit includes stir-fry rice noodles & thai peanut seasoning,"Rice noodles (rice, Water), Seasoning packet (peanut, Sugar, Salt, Corn starch, Spices [chili, Cinnamon, Pepper, Cumin, Clove], Hydrolyzed soy protein, Green onions, Citric acid, Peanut oil, Sesame oil, Natural flavor).",Food,0
"Butter, salted",Unknown,Other,0
"Butter, whipped, with salt",Unknown,Other,0
"Butter oil, anhydrous",Unknown,Other,0
"Cheese, blue",Unknown,Other,0
"Cheese, brick",Unknown,Other,0
"Cheese, brie",Unknown,Other,0
