name,ingredients,category
Sidi Ali,une eau minérale naturelle,food
Sidi Ali,Sodium 26 Calcium 12 Magnésium 9 Potassium 3 Bicarbonates 104 Sulfates 42 Chlorures 14 Nitrates 0 صوديوم كالسيوم تغازيوم بوتاسيوم میکرونات سلفات كلوري نترات,food
Perly,"Lait écrémé, crème, SUcre, ferments laciques Matière grasse:3 %% Poids net : 85g",food
Eau minérale naturelle,100% EAU MINÉRALE,food
اكوافينا,ouverture et avant le : Voir bouteille. après مياه مصفاة بتقنية اكوافينا هايدرو - 7 Eau purifiée par la technique Aquafina HydRO-7,food
Lait,lait frais pasteurisé demi écrémé,food
Eau de source,Eau de source,food
Fromage blanc nature,"Ferments lactiques, Présure, Sel.",food
Lait entier UHT,Lait entier,food
Unknown,,food
Unknown,,food
Crunchy Peanut Butter Chocolate,,food
Cannellini Bohnen,,food
Unknown,,food
Takis,"Făină de porumb precoaptă (origine: din UE), grasime vegetala (palmier), condimente reparate cu aromă de brânză şi ardei iute (origine: din UE) [ZER PRAF, maltodextrina, sare, arome, rentiatori de aromã (monoglutamat de sodiu, inozinat si guanillat disodic), PRAF DE BRANZA (0,4%)* ectori de aciditate (acetati de sodiu, acid citric), coloranti (extract de paprika, annatto bixiná), oxidanti (acid ascorbic, extracte de rozmarin, butilhidroxianisol, galat de propil, alfa-tocoferol, extract Ingat in tocoferol)], ulei vegetal (floarea-soarelui). &quot;In produsul final. Poate contine SOIA.",food
Tomaten,,food
Unknown,,food
Unknown,,food
Albeni Bar Cake,,food
Unknown,,food
Thai peanut noodle kit includes stir-fry rice noodles & thai peanut seasoning,"Rice Noodles (rice, water), seasoning packet (peanut, sugar, salt, corn starch, spices [chili, cinnamon, pepper, cumin, clove], hydrolyzed soy protein, green onions, citric acid, peanut oil, sesame oil, natural flavor).",food
"Butter, salted",N/A,Butter
"Butter, whipped, with salt",N/A,Butter
"Butter oil, anhydrous",N/A,Butter oil
"Cheese, blue",N/A,Cheese
"Cheese, brick",N/A,Cheese
"Cheese, brie",N/A,Cheese
"Cheese, camembert",N/A,Cheese
"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",N/A,Cheese
"Cheese, colby",N/A,Cheese
"Cheese, cottage, creamed, large or small curd",N/A,Cheese
"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",N/A,Cheese
"Cheese, cottage, lowfat, 2% milkfat",N/A,Cheese
"Cheese, cottage, lowfat, 1% milkfat",N/A,Cheese
"Cheese, cream",N/A,Cheese
"Cheese, feta",N/A,Cheese
"Cheese, fontina",N/A,Cheese
"Cheese, gouda",N/A,Cheese
"Cheese, gruyere",N/A,Cheese
"Cheese, limburger",N/A,Cheese
"Cheese, monterey",N/A,Cheese
"Cheese, mozzarella, low moisture, part-skim",N/A,Cheese
"Cheese, muenster",N/A,Cheese
"Cheese, parmesan, grated",N/A,Cheese
"Cheese, provolone",N/A,Cheese
"Cheese, ricotta, whole milk",N/A,Cheese
"Cheese, ricotta, part skim milk",N/A,Cheese
"Cheese, swiss",N/A,Cheese
"Cheese, pasteurized process, American, vitamin D fortified",N/A,Cheese
"Cheese spread, pasteurized process, American",N/A,Cheese spread
"Cream, fluid, half and half",N/A,Cream
"Cream, fluid, light (coffee cream or table cream)",N/A,Cream
"Cream, fluid, heavy whipping",N/A,Cream
"Cream, whipped, cream topping, pressurized",N/A,Cream
"Cream, sour, cultured",N/A,Cream
Eggnog,N/A,Eggnog
"Cheese, American, nonfat or fat free",N/A,Cheese
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",N/A,Cream substitute
"Cream substitute, powdered",N/A,Cream substitute
"Dessert topping, semi solid, frozen",N/A,Dessert topping
"Sour cream, imitation, cultured",N/A,Sour cream
"Milk, whole, 3.25% milkfat, with added vitamin D",N/A,Milk
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",N/A,Milk
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",N/A,Milk
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",N/A,Milk
"Milk, buttermilk, fluid, cultured, lowfat",N/A,Milk
"Milk, low sodium, fluid",N/A,Milk
"Milk, dry, whole, with added vitamin D",N/A,Milk
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",N/A,Milk
"Milk, buttermilk, dried",N/A,Milk
"Milk, canned, condensed, sweetened",N/A,Milk
"Milk, canned, evaporated, with added vitamin D and without added vitamin A",N/A,Milk
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",N/A,Milk
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",N/A,Milk
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",N/A,Milk
