ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"Pork backbone, salt, sugar, natural flavors, preservatives (E252, E250)","['Pork backbone', 'Salt', 'Sugar']","['E252', 'E250']","Overall, these ingredients appear to be safe for consumption. However, it is important to note that the product may contain preservatives (E250 and E252) which could potentially have negative effects on health in large amounts or when consumed regularly.",Low,Low,Approved
"Water, sugar, acidulant: citric acid, tea extract, lemon juice from concentrate, acidity regulator: sodium citrates, antioxidant: ascorbic acid, sweetener: sucralose, natural lemon flavor","['Water', 'Citric acid', 'Tea extract', 'Lemon juice']",['None'],No specific health concerns found for these ingredients.,Low,Low,Approved
"Pasteurized milk, cream, table salt, microbial rennet, lactic acid cultures, ripening cultures","['Pasteurized milk', 'Cream', 'Table salt']",['None'],"Overall, the product appears to be safe for consumption. Pasteurization is a common method used in food production that kills harmful bacteria and viruses while preserving nutrients such as vitamins A and D found naturally in milk.",Low,Low,Approved
"Chili sauce, fructose, concentrated pineapple juice, glucose syrup, tomato paste, onion concentrate, salt, mirin rice wine, water, red pepper juice concentrate, crushed chili, garlic puree, rapeseed oil, ginger puree, acidity regulator (acetic acid), Nigella seeds, color (paprika extract), cayenne pepper, chili coater","['Fructose', 'Concentrated pineapple juice', 'Glucose syrup', 'Tomato paste']",['None'],"Overall, the ingredients seem safe to consume. However, it is important for individuals with allergies or intolerances to certain spices such as cayenne pepper and chili coater to exercise caution while consuming this product.",Low,Moderate,Approved
"Chicken meat, vegetable fat (palm), salt, milk protein, dextrose, vegetable extract, flavor, antioxidant sodium ascorbate, color: natural cochineal, preservative, sodium nitrite, potassium nitrate, ferments, smoke","['Chicken meat', 'Vegetable fat (palm)', 'Salt']","['Sodium nitrite', 'Potassium nitrate']","Overall, the product appears to be safe for consumption. However, it is important to note that some of these ingredients may have potential allergens or health concerns if consumed in large quantities.",Low,Moderate,Approved
"Mature Cheddar Cheese, Minced Black Summer Truffle, vegetable oil, water, salt, truffle flavoring","['Mature Cheddar Cheese', 'Minced Black Summer Truffle', 'Vegetable oil']",['None'],"Overall, the product appears to be safe for consumption. However, individuals with allergies or intolerances should exercise caution when consuming dairy products such as cheese.",Low,Moderate,Approved
"Fruits, ascorbic acid","['Fruits', 'Ascorbic acid']",['None'],"The ingredients appear to be safe for consumption. Fruits are a good source of vitamins and fiber, while ascorbic acid is an antioxidant that may have health benefits in small amounts.",Low,Low,Approved
"Peaches, drinking water, egg liqueur, whipped cream, sugar, biscuit, passion fruit, skimmed milk yogurt, modified starch, rum, glucose-fructose syrup, gelatin, table salt, antioxidant E300, flavor, color E160a, acidulant E330","['Peaches', 'Drinking water', 'Egg liqueur', 'Whipped cream']","['Glucose-fructose syrup', 'E300', 'E160a']","Overall, the product seems safe to consume. However, it is important for individuals with allergies or intolerances to certain listed ingredients (such as lactose and glucose-fructose syrup) to exercise caution before consuming this product.",Low,Moderate,Approved
"Water, fish, tomato concentrate, white wine, rice cream, onions, carrots, leeks, olive oil, garlic, celery, salt, pepper, spices, saffron","['Water', 'Fish', 'Tomato concentrate', 'White wine']",['None'],"Overall, the ingredients appear to be safe. However, it is important for individuals with shellfish allergies or intolerances to avoid consuming this product due to potential cross-contamination from fish.",Low,Moderate,Approved
"Carbonated water, sucrose, glucose syrup, acid (citric acid, tartaric acid), taurine, flavors, flavor enhancer (erythritol, acidity regulator (sodium hydrogen carbonate, magnesium carbonate), preservatives (sorbic acid, benzoic acid), caffeine, sweetener (sucralose), vitamins (riboflavin, niacin, B6, B12), color (anthocyanins), L-carnitine L-tartrate, inositol","['Carbonated water', 'Taurine', 'Citric acid', 'Tartaric acid']","['Sorbic acid', 'Benzoic acid', 'Caffeine']","Overall, the ingredients appear to be safe for consumption. However, it is important to note that excessive intake of certain sweeteners like erythritol and acidity regulators could potentially lead to health issues.",Low,Moderate,Approved
"All-butter orange flavored cookies made with chunks of Belgian dark and milk chocolate. Ingredients: fortified wheat flour, butter, sugar, Belgian dark chocolate chunks, Belgian milk chocolate chunks, orange peel, partially inverted sugar syrup, glucose syrup, raising agents, salt, orange oil","['Fortified wheat flour', 'Butter', 'Sugar']",['None'],"Overall, the ingredients in this product appear to be safe for consumption. However, it's important to note that some people may have allergies or sensitivities to certain components such as wheat flour and soy lecithin.",Low,Moderate,Approved
"Ground buckwheat, ground chia, freeze-dried mango powder, activated buckwheat, ground almonds, baobab powder, ground dates","['Ground buckwheat', 'Ground chia', 'Freeze-dried mango powder']",['None'],"Overall, the product appears to be safe for consumption as all listed ingredients are derived from organic agriculture and do not have any known harmful effects. However, individuals with allergies or sensitivities should still exercise caution when consuming these products.",Low,Low,Approved
"Sardines, extra virgin olive oil, salt","['Sardines', 'Extra virgin olive oil']",['None'],"The ingredients appear to be safe for consumption. Sardines are a good source of omega-3 fatty acids and protein, while olive oil is high in monounsaturated fats which can help lower bad cholesterol levels.",Low,Low,Approved
"Unbleached enriched flours, sugar, palm oil, buttermilk powder, canola oil, blueberries, baking powder, freeze-dried raspberries, freeze-dried blackberries, natural berry flavored pieces, salt, baking soda, natural flavor","['Unbleached enriched flours', 'Sugar', 'Palm oil']",['None'],"Overall, the ingredients in this product appear to be safe for consumption. However, it's important to note that some people may have allergies or sensitivities to certain components such as wheat flour and soy lecithin.",Low,Moderate,Approved
"Wheat flour, sugar, glucose-fructose syrup, high oleic sunflower and palm oils, salt, leavening agents, emulsifier (lecithin), flavors, flour treatment agent (sodium metabisulfite)","['Wheat flour', 'Sugar', 'Glucose-fructose syrup']",['Sodium metabisulfite'],"Overall, the ingredients seem to be safe for consumption. However, sodium metabisulfite should not exceed a certain amount in food products as it can cause allergic reactions and other health issues.",Low,Moderate,Approved
"Peeled tomatoes, pre-fried red and green peppers, pre-fried onions, crushed peeled tomatoes, green olives, water, extra virgin olive oil, onions, garlic, natural flavor, sherry vinegar, salt, herbs, pepper, Espelette pepper","['Peeled tomatoes', 'Pre-fried red and green peppers', 'Pre-fried onions']",['None'],"Overall, the ingredients in this product seem to be safe for consumption. However, it's important to note that some people may have allergies or sensitivities to certain components such as tomatoes and onions.",Low,Moderate,Approved
Isomalt,['Isomalt'],['None'],"Overall, this ingredient appears to be safe for consumption.",Low,Low,Approved
"Charolais veal meat, short ribs",['Charolais veal meat'],['None'],"The ingredient 'Veal meat' is generally safe for consumption. However, it is important to ensure that the meat is properly cooked to avoid the risk of foodborne illnesses.",Low,Low,Approved
"Cooked brown rice, spinach, cooked quinoa, red peppers, water, dried cranberries, cooked red quinoa, red wine vinegar, canola oil, garlic, sugar, salt, mushroom powder, yeast extract, onion powder, natural flavor, black pepper, rice starch, basil, thyme","['Cooked brown rice', 'Spinach', 'Cooked quinoa']",['None'],"Overall, this product appears to be safe for consumption. However, it is important to note that the dried cranberries may contain high levels of sugar and could potentially contribute to a diet with too much added sugars.",Low,Low,Approved
"Peanuts, kaffir lime leaves, sugar, lemongrass, salt, cayenne, citric acid","['Kaffir lime leaves', 'Lemongrass']",['None'],"Overall, the product appears to be safe for consumption. However, individuals with allergies or intolerances should exercise caution when consuming peanuts and cayenne.",Low,Moderate,Approved
"Whole farm milk, whole eggs, wheat flour, cane sugar, water, sunflower oil, Guérande salt","['Whole farm milk', 'Whole eggs', 'Wheat flour']",['None'],"Overall, this product appears to be safe for consumption. The ingredients listed are common and widely used in food production without any known harmful effects.",Low,Low,Approved
"Wheat flour, coconut and palm oil, dried cheese preparation (Gouda and Edam cheeses)","['Wheat flour', 'Coconut and palm oil']",['None'],"Overall, this product appears to be safe for consumption. Wheat is a common grain that can cause allergic reactions in some people, but it's not inherently harmful when consumed as part of a balanced diet. Coconut and palm oil are both sources of saturated fats, which should be consumed in moderation.",Low,Moderate,Approved
"Beef meat and fat, lamb meat, water, salt, spices and aromatic plants, lactose, dextrose, acidity regulators (E282, E331), natural flavors, antioxidants (E300, E301), color E120, natural sheep casings","['Beef meat and fat', 'Lamb meat']","['Lactose', 'Dextrose', 'E282', 'E331', 'E300', 'E301', 'E120']","The ingredients seem to be safe for consumption. However, it is important to note that lactose and dextrose may cause allergic reactions in some people.",Low,Moderate,Approved
"Sugar, cherry, water, thickener (pectin), sourness regulating substance (citric acid)","['Cherry', 'Water', 'Pectin']",['None'],"This food appears to be safe for consumption, as all ingredients are commonly used in the production of foods and have been approved by regulatory agencies. The sugar content is relatively low at 55g per 100g product.",Low,Low,Approved
"Raw organic cow's milk, salt, ferments, rennet","['Raw organic cow's milk', 'Salt']",['None'],"Overall, this product seems safe to consume as it contains only two common and widely used food additives, lactose (a type of milk sugar) which is generally well tolerated by most people but may cause digestive issues in some individuals who are intolerant or allergic. Sodium also has a long history of use for preservation purposes.",Low,Low,Approved
