ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"black beans, water, firming agent (calcium chloride)","['black beans', 'water']",[],"The ingredients appear to be safe for consumption. Black beans are a good source of protein and fiber, while water is essential for hydration. The firming agent (calcium chloride) may cause some digestive discomfort in sensitive individuals but does not pose any significant health risks.",Unknown,Unknown,Unknown
"Pâte à beignet (70 %) : Farine de _blé_, eau, _œufs_, préparation pour beignet (émulsifiants (E471, E472e), sel, farine de _blé_, poudre à lever (E450, E500), _gluten de blé_, agent de traitement de la farine (E300), enzymes (hémicellulase, alpha amylase)), sucre, margarine (huiles et graisses végétales raffinées, beurre concentré, eau, émulsifiants : lecithines de _soja_ (E322), mono - et diglycérides d'acides gras (E471), sel, sucre, acidifiant acide citrique (E330), arômes, colorant : Béta carotène levure. Huile de tournesol, anti-moussant (E900). Garniture (30 %) : Sucre, huiles végétales (colza), noisettes 10 %, cacao maigre en poudre 4,5 %, _lait_ écrémé en poudre, _lactosérum_ en poudre, _lactose_, émulsifiant lécithine de tournesol, arômes.","['Farine de blρ', '\nEau', '\neggs (eggs)', '\npreparation pour beignet (\nmulti-functional emulsifiers E472e, salt,\nfour blend 50% wheat flour puffed rice powder gluten of wheat \nan agent for treating the flour additives enzymes hemicellulase alpha amylase)', '\nsugar', '\nbutter (refined vegetable oils butter concentrate water emulsifiers lecithin soybean oil mono- and diglycerides citric acid flavoring colorant beta carotene yeast. sunflower seed oil anti foaming agent.', 'sugars, \nhydrogenated fats (soya), nuts 10%, cocoa powder 4⚕% milk in a dry form', '\nlactose enriched creamed lactosurum dried lactic acid citrate flavoring aromas.']",[],"Overall, the ingredients used seem to be safe for consumption. However, it is important to note that some of these may contain allergens such as wheat and nuts which could cause adverse reactions in certain individuals.",Unknown,Unknown,Unknown
"O SPAR free from Backmischung Backmischung für Brot, Kuchen und Gebäck SPARE : Maisstärke, Reismehl, Kartoffelstärke, 9% Samen (Leinsamen, Sonnenblumenkerne, Sesam,. durtsti hranive pfanzliche Fasern (Flohsamenschalen, Erbsen) Dextrose, Reissauerteig (Wasser, fermentierten Heis), Verdickungsmittel: Hydroxypropyimethy Celulose, Erbsenprotein, Salz unjodiert, Back - eonittel: Glucono-delta-Lacton. Eine abwechs ungsreiche, ausgewogene Ernährung, Bewegung ein gesunder Lebensstil sind wichtig für die Energie/e Fett/ davon qesàt SUren/od Qesundheit. Vor und nach dem Öfnen trocken Und vor Wärme und Licht geschützt lagern. Min destens haltbar bis: siehe Verpackungsoberselte.","['O SPAR free from Backmischung', 'Maisstärke', 'Reismehl', 'Kartoffelstärke']",[],"Overall, the product appears to be safe for consumption. However, it is important to note that excessive intake of any ingredient can lead to health issues.",Unknown,Unknown,Unknown
"Schweinefleisch, Speck, _Laktose_, Speisesalz, Säureregulator Natriumlactat, _Milchpulver_, Gewürze, Konservierungsstoffe (Natriumnitrit, Kaliumnitrat), Säuerungsmittel Milchsäure, Antioxidationsmittel Natriumisoascorbat, Farbstoff Echtes Karmin, Schweinedarm.","['Schweinefleisch', '_Laktose', 'Speisesalz']",[],"Overall the ingredients seem to be safe for consumption. However, people with lactose intolerance should avoid consuming products that contain Lactose.",Unknown,Unknown,Unknown
"Dough mixture: enriched semolina flour (semolina flour {niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid}), water, pasteurized eggs, beta carotene. filling: beef, water, breadcrumbs ([enriched bleached wheat flour {niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid}], dextrose, contains 2% or less of: yeast, partially hydrogenated oil [soybean and/or cottonseed], salt), yeast extract, textured soy protein concentrate (with added caramel color), salt, natural flavoring, caramel color, spices.","['enriched semolina flour', 'water']",[],"The dough mixture seems to be safe as it contains only two harmless ingredients: enriched semolina flour and water. However, the filling may contain harmful additives such as partially hydrogenated oil [soybean and/or cottonseed], which is high in trans fats that can increase cholesterol levels and risk of heart disease.",Unknown,Unknown,Unknown
"Water, Dehydrated Cheese (Corn Starch, Maltodextrin, Whey Protein Concentrate, Salt Dextrose, Cheddar Cheese [pasteurized milk, cultures, salt, enzymes], Yeast Extract, Xanthan Gum, Gum Arabic), Sweet Green Penners (Bell Penners Water Citric Acid) lalaneno Penners, Coconut Oil, Cheese","['Water', 'Dehydrated Cheese', 'Corn Starch', 'Maltodextrin']",[],"Overall, the ingredients appear to be safe for consumption. However, it's important to note that cheese can cause allergic reactions in some people and may not be suitable for those with lactose intolerance or dairy sensitivity.",Unknown,Unknown,Unknown
"Flour (_wheat_ flour, calcium, iron, niacin, thiamin), sugar, vegetable oil (palm), partially inverted sugar syrup, molasses, raising agents (sodium bicarbonate, disodium diphosphate), ground ginger, salt, natural ginger flavouring.  For allergens, including cereals containing gluten, see ingredients in bold, may also contain nuts, milk, soya.","['Flour', '_wheat_flour', 'calcium', 'iron', 'niacin', 'thiamin']",[],"The ingredients appear to be generally safe for consumption. However, individuals with gluten sensitivity should exercise caution as wheat flour is a common allergen.",Unknown,Unknown,Unknown
"NERO DI SEPPIA, ACQUA, SALE ADDENSANTE: E415. CONTIENE MOLLUSCHI E CROSTACEL",[],"['NERO DI SEPPIA', 'SALE ADDENSANTE: E415']","The product contains Nero di Sepia, which is a type of squid ink. While it may be safe to consume in small amounts as part of an overall healthy diet, there are concerns about its potential for allergic reactions and other adverse effects when consumed in large quantities or by individuals with certain health conditions such as asthma. Additionally, the preservative SALE ADDENSANTE: E415 may be harmful to some people due to a known allergy.",Unknown,Unknown,Unknown
Dattes Deglet Nour issus de l'agriculture biologique.,['Dattes Deglet'],[],"The product appears to be made from organic dates, which are generally safe for consumption. However, it's important to note that some people may have allergic reactions or intolerances to certain ingredients in this recipe.",Unknown,Unknown,Unknown
Coriander (Cilantro),['Cor'],[],"Overall, coriander is generally considered safe for consumption. It may cause some mild side effects in sensitive individuals such as digestive issues or allergic reactions.",Unknown,Unknown,Unknown
